
AIX snifpbeta02 3 5 000C6F22D900    11/09/09

System configuration: lcpu=12 ent=1.00 mode=Uncapped 

06:30:00    %usr    %sys    %wio   %idle   physc   %entc
06:31:00       1       1       0      99    0.02     1.6
06:32:00       0       0       0      99    0.01     1.1
06:33:00       0       0       0      99    0.01     1.0
06:34:00       0       0       0      99    0.01     0.9
06:35:00       0       0       0      99    0.01     1.0
06:36:00       0       0       0      99    0.01     0.9
06:37:00       0       0       0      99    0.01     1.0
06:38:00       0       0       0      99    0.01     1.2
06:39:00       0       0       0      99    0.01     1.1
06:40:00       0       0       0      99    0.01     0.9
06:41:00       0       0       0      99    0.01     0.9
06:42:00       0       0       0      99    0.01     1.0
06:43:00       1       1       0      98    0.02     2.1
06:44:00       1       1       0      99    0.02     1.8
06:45:00       4       1       0      96    0.05     4.6
06:46:00       4       1       0      95    0.05     5.3
06:47:00       1       0       0      99    0.02     1.7
06:48:00       1       0       0      98    0.02     1.8
06:49:00       2       1       0      97    0.03     2.9
06:50:00       1       0       0      99    0.01     1.3
06:51:00       1       0       0      99    0.01     1.3
06:52:00       1       1       0      99    0.01     1.3
06:53:00       0       0       0      99    0.01     0.9
06:54:00       1       0       0      99    0.01     1.5
06:55:00       1       0       0      99    0.01     1.2
06:56:00       0       0       0      99    0.01     1.0
06:57:00       1       0       0      98    0.02     2.0
06:58:00       0       0       0      99    0.01     1.0
06:59:00       0       0       0      99    0.01     1.0
07:00:00       0       0       0      99    0.01     1.2
07:00:59       7       4       0      88    0.12    12.0
07:01:59       1       1       0      99    0.02     1.5
07:02:59       1       0       0      99    0.01     1.4
07:03:59       2       1       0      98    0.02     2.4
07:04:59       2       1       0      98    0.03     2.5
07:05:59       0       0       0      99    0.01     1.1
07:06:59       1       1       0      99    0.01     1.3
07:07:59       1       0       0      99    0.01     1.4
07:08:59       1       0       0      98    0.02     1.9
07:09:59       1       1       0      98    0.02     1.8
07:10:59      18       6       1      75    0.24    24.4
07:11:59       1       1       0      98    0.02     1.8
07:12:59       0       0       0      99    0.01     1.1
07:13:59       0       0       0      99    0.01     1.0
07:14:59       1       0       0      98    0.02     1.8
07:15:59       1       1       0      98    0.02     2.1
07:16:59       2       1       0      98    0.03     2.7
07:17:59       1       0       0      99    0.01     1.4
07:18:59       1       1       0      99    0.02     1.6
07:19:59       3       1       0      97    0.03     3.5
07:20:59       1       1       0      98    0.02     2.3
07:21:59       1       1       0      99    0.02     1.7
07:22:59       1       0       0      98    0.02     1.9
07:23:59       1       1       0      99    0.02     1.8
07:24:59       1       1       0      98    0.02     2.2
07:25:59      20       4       0      76    0.25    24.8
07:26:59       2       1       0      98    0.03     2.5
07:27:59       1       1       0      98    0.02     2.0
07:28:59       2       1       0      97    0.03     2.9
07:29:59       1       1       0      98    0.02     2.2
07:30:59       1       1       0      98    0.02     2.1
07:31:59       1       1       0      98    0.02     1.9
07:32:59       1       1       0      99    0.01     1.3
07:33:59       2       1       0      97    0.03     2.8
07:34:59       3       1       0      96    0.04     4.2
07:35:59       3       1       0      96    0.04     4.3
07:36:59       2       1       0      97    0.04     3.5
07:37:59       2       1       0      97    0.03     3.0
07:38:59       2       1       0      98    0.03     2.6
07:39:59       2       1       0      98    0.03     2.7
07:40:59      20       5       0      75    0.25    24.9
07:41:59       1       1       0      98    0.02     2.4
07:42:59       3       1       0      96    0.04     4.1
07:43:59       4       1       0      95    0.05     5.2
07:44:59       4       1       0      96    0.05     4.8
07:45:59       2       1       0      97    0.03     3.3
07:46:59       3       1       0      97    0.04     3.6
07:47:59       4       1       0      95    0.05     5.3
07:48:59       5       1       0      94    0.06     6.2
07:49:59       4       1       0      95    0.05     5.3
07:50:59       2       1       0      97    0.03     2.9
07:51:59       1       1       0      98    0.02     2.2
07:52:59       2       1       0      98    0.03     2.7
07:53:59       2       1       0      97    0.03     3.3
07:54:59       1       1       0      98    0.02     2.3
07:55:59      22       5       0      73    0.27    27.2
07:56:59       4       1       0      95    0.05     4.9
07:57:59       3       1       0      97    0.04     3.8
07:58:59       4       1       0      95    0.05     5.1
07:59:59       3       1       0      96    0.04     4.1
08:00:59       4       1       0      95    0.05     5.1
08:01:59       4       1       0      95    0.05     5.0
08:02:59       4       1       0      95    0.05     5.5
08:03:59       4       1       0      94    0.06     5.9
08:04:59       3       1       0      96    0.05     4.7
08:05:59       4       1       0      95    0.05     5.2
08:06:59       3       1       0      96    0.04     4.3
08:07:59       4       1       0      95    0.05     5.3
08:08:59       5       1       0      94    0.07     6.6
08:09:59       4       1       0      95    0.05     5.0
08:10:59      23       5       0      71    0.29    29.0
08:11:59       7       1       0      92    0.08     8.3
08:12:59       5       1       0      94    0.06     6.2
08:13:59       4       1       0      94    0.06     5.9
08:14:59       5       1       0      94    0.07     6.5
08:15:59       6       1       0      93    0.08     7.8
08:16:59       6       1       0      93    0.07     7.2
08:17:59       7       1       0      92    0.09     8.6
08:18:59       8       2       0      91    0.10     9.9
08:19:59       8       1       0      91    0.09     9.3
08:20:59       7       1       0      91    0.09     8.9
08:21:59      10       2       0      89    0.12    11.7
08:22:59      11       2       0      87    0.13    13.0
08:23:59      11       2       0      88    0.13    12.9
08:24:59       8       1       0      91    0.09     9.4
08:25:59      25       5       0      70    0.31    30.9
08:26:59       7       1       0      91    0.09     9.3
08:27:59       7       1       0      91    0.09     9.2
08:28:59       9       2       0      90    0.11    10.7
08:29:59       8       2       0      90    0.10    10.2
08:30:59       9       2       0      89    0.12    11.6
08:31:59      12       2       0      86    0.14    14.2
08:32:59       9       2       0      89    0.12    11.7
08:33:59       9       2       0      89    0.12    11.8
08:34:59      10       2       0      89    0.12    11.9
08:35:59      12       2       0      86    0.14    14.0
08:36:59      10       2       0      88    0.12    12.4
08:37:59      11       2       0      87    0.13    13.5
08:38:59      11       2       0      87    0.14    13.6
08:39:59      10       2       0      88    0.13    12.7
08:40:59      27       6       0      67    0.33    33.3
08:41:59      11       2       0      87    0.13    13.1
08:42:59      11       2       0      87    0.13    13.4
08:43:59      13       2       0      85    0.16    15.9
08:44:59      10       2       0      88    0.13    12.6
08:45:59      10       2       0      88    0.12    12.2
08:46:59      10       2       0      88    0.13    12.5
08:47:59      13       2       0      85    0.16    15.6
08:48:59      13       2       0      85    0.16    15.7
08:49:59      10       2       0      88    0.12    12.4
08:50:59      10       2       0      88    0.13    12.5
08:51:59      11       2       0      87    0.13    13.5
08:52:59       9       2       0      89    0.11    11.3
08:53:59      10       2       0      88    0.13    12.6
08:54:59      10       2       0      88    0.13    12.6
08:55:59      28       6       0      66    0.34    34.0
08:56:59      12       2       0      86    0.14    14.1
08:57:59      11       2       0      87    0.14    13.5
08:58:59      11       2       0      87    0.14    13.6
08:59:59       9       2       0      89    0.12    11.5
09:00:59      10       2       0      88    0.13    12.7
09:01:59      13       2       0      84    0.16    16.2
09:02:59      14       2       0      84    0.16    16.3
09:03:59      14       2       0      84    0.16    16.3
09:04:59      11       2       0      87    0.13    13.4
09:05:59      10       2       0      88    0.13    12.7
