UserId,EmplId,Level,Permissions,Role,Branch,Bank,Ezor
T131326,131326,1,0,022,284,31,0
U167339,167339,1,0,002,060,31,0
U186309,186309,4,190,003,0,31,0
U186309,186309,2,46,003,0,31,0
U186309,186309,2,52,003,0,31,0
U186309,186309,2,26,003,0,31,0
U186309,186309,2,31,003,0,31,0
U175498,175498,2,14,003,060,31,0
U175498,175498,2,46,003,060,31,0
U175498,175498,2,52,003,060,31,0
U175498,175498,2,26,003,060,31,0
U175498,175498,2,31,003,060,31,0
U167479,167479,2,52,005,075,31,0
U167479,167479,2,31,005,075,31,0
U152048,152048,4,190,005,190,52,51
U152048,152048,2,52,005,190,52,51
u056839,056839,2,52,005,0,31,0
u056839,056839,2,31,005,0,31,0
U189332,189332,2,52,006,060,31,0
U189332,189332,2,26,006,060,31,0
U189332,189332,2,31,006,060,31,0
T174998,174998,2,14,006,301,31,0
T174998,174998,2,46,006,301,31,0
T174998,174998,2,52,006,301,31,0
T174998,174998,2,26,006,301,31,0
T174998,174998,2,31,006,301,31,0
U171964,171964,2,14,006,060,31,0
U171964,171964,2,46,006,060,31,0
U171964,171964,2,52,006,060,31,0
U171964,171964,2,26,006,060,31,0
U171964,171964,2,31,006,060,31,0
U126233,126233,1,0,006,060,31,0
D707416,707416,2,14,008,285,31,0
D707416,707416,2,46,008,285,31,0
D707416,707416,2,52,008,285,31,0
D707416,707416,2,26,008,285,31,0
D707416,707416,2,31,008,285,31,0
D705368,705368,2,14,008,285,31,0
D705368,705368,2,46,008,285,31,0
D705368,705368,2,52,008,285,31,0
D705368,705368,2,26,008,285,31,0
D705368,705368,2,31,008,285,31,0
U511734,511734,2,14,008,389,14,0
U511717,511717,2,14,008,389,14,0
B706755,706755,2,14,008,008,31,0
B706755,706755,2,46,008,008,31,0
B706755,706755,2,52,008,008,31,0
B706755,706755,2,26,008,008,31,0
B706755,706755,2,31,008,008,31,0
B706755,706755,1,0,008,008,31,0
D706081,706081,2,14,008,284,31,0
D706081,706081,4,316,008,284,31,0
D706081,706081,4,314,008,284,31,0
D706081,706081,4,315,008,284,31,0
D706081,706081,4,313,008,284,31,0
D706081,706081,2,31,008,284,31,0
U170569,170569,4,004,008,0,31,0
U170569,170569,3,2,008,0,31,0
U170569,170569,2,52,008,0,31,0
U510383,510383,2,14,008,389,14,0
U510410,510410,2,14,008,389,14,0
U510443,510443,2,14,008,389,14,0
B138932,138932,4,284,008,008,31,0
Z172677,172677,4,029,008,029,31,31
Z172677,172677,2,52,008,029,31,31
Z172677,172677,2,26,008,029,31,31
Z172677,172677,3,3,008,029,31,31
U511042,511042,2,14,008,389,14,0
U510313,510313,2,14,008,389,14,0
U511051,511051,2,14,008,389,14,0
U511117,511117,2,14,008,389,14,0
B511086,511086,2,14,008,362,14,72
U173762,173762,3,4,008,060,31,0
U173762,173762,3,9,008,060,31,0
U173762,173762,2,26,008,060,31,0
U173762,173762,4,094,008,060,31,0
U173762,173762,4,048,008,060,31,0
U173762,173762,4,020,008,060,31,0
U173762,173762,4,006,008,060,31,0
U173762,173762,4,055,008,060,31,0
U173762,173762,4,101,008,060,31,0
U173762,173762,4,116,008,060,31,0
U173762,173762,4,119,008,060,31,0
U173762,173762,4,126,008,060,31,0
U173762,173762,4,093,008,060,31,0
U170127,170127,4,127,008,060,31,0
U170127,170127,4,041,008,060,31,0
U170127,170127,3,6,008,060,31,0
U170127,170127,2,26,008,060,31,0
U170127,170127,4,028,008,060,31,0
U170127,170127,4,082,008,060,31,0
U170542,170542,2,52,008,060,31,0
U170542,170542,2,26,008,060,31,0
U170542,170542,2,31,008,060,31,0
D703770,703770,2,14,008,301,31,0
D703770,703770,2,46,008,301,31,0
D703770,703770,2,52,008,301,31,0
D703770,703770,2,26,008,301,31,0
D703770,703770,2,31,008,301,31,0
U511269,511269,2,14,008,389,14,0
Z123269,123269,3,4,009,044,31,92
Z123269,123269,3,9,009,044,31,92
Z123269,123269,4,020,009,044,31,92
Z123269,123269,4,055,009,044,31,92
Z123269,123269,4,119,009,044,31,92
Z173290,173290,3,4,009,0,31,0
Z173290,173290,3,9,009,0,31,0
Z173290,173290,4,121,009,0,31,0
Z173290,173290,4,094,009,0,31,0
Z173290,173290,4,020,009,0,31,0
Z173290,173290,4,055,009,0,31,0
Z173290,173290,4,101,009,0,31,0
Z173290,173290,4,119,009,0,31,0
Z173290,173290,4,065,009,0,31,0
Z173290,173290,4,093,009,0,31,0
